Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
French Guiana,10536,19,70,,9995,471,3,34981,232,74591,247655,301189
Jamaica,9094,89,206,1,4510,4378,4,3067,69,95809,32308,2965473
Haiti,9057,,232,,7429,1396,,791,20,32176,2811,11448379
Gabon,8968,,55,,8698,215,3,3999,25,240328,107156,2242793
Cabo Verde,8694,,95,,7913,686,23,15581,170,94729,169771,557982
Zimbabwe,8362,,242,,7884,236,,560,16,163656,10959,14934072
Mauritania,7700,,163,,7416,121,3,1642,35,87246,18606,4689208
Guadeloupe,7605,,126,,2242,5237,19,19006,315,67445,168551,400147
French Polynesia,7262,,29,,4842,2391,24,25802,103,26355,93641,281448
Cuba,6887,86,128,,6245,514,5,608,11,841281,74290,11324299
Bahamas,6644,,142,,4257,2245,12,16842,360,35181,89181,394488
Botswana,6642,,24,,4676,1942,1,2806,10,299546,126544,2367123
Malta,6042,100,62,1,4155,1825,15,13672,140,336319,761013,441936
Malawi,5923,,184,,5323,416,4,307,10,62171,3223,19290019
Eswatini,5909,,117,,5557,235,19,5076,101,46202,39688,1164136
Latvia,5894,215,71,2,1406,4417,10,3137,38,454253,241736,1879126
Syria,5683,,285,,1937,3461,,322,16,,,17638619
Trinidad and Tobago,5668,,107,,4455,1106,14,4046,76,33014,23565,1401000
Réunion,5659,,24,,4884,751,10,6306,27,35419,39467,897433
Djibouti,5559,,61,,5437,61,,5600,61,84973,85596,992725
Nicaragua,5514,,156,,4225,1133,,829,23,,,6650562
Hong Kong,5324,3,105,,5089,130,9,708,14,3707664,493227,7517149
Congo,5290,,92,,3887,1311,,951,17,,,5562143
Suriname,5201,,111,,5057,33,3,8840,189,18870,32071,588373
Rwanda,5134,,35,,4878,221,,393,3,555686,42561,13056337
Equatorial Guinea,5083,,83,,4964,36,1,3585,59,65408,46135,1417761
Estonia,4905,134,73,,3811,1021,4,3697,55,262554,197880,1326834
CAR,4866,,62,,1924,2880,2,1002,13,32711,6734,4857277
Iceland,4865,68,13,,3873,979,4,14226,38,352919,1031990,341979
Andorra,4665,,75,,3377,1213,22,60345,970,146308,1892583,77306
Aruba,4494,,37,,4286,171,4,42033,346,39418,368679,106917
Mayotte,4366,,44,,2964,1358,4,15879,160,13000,47281,274952
Cyprus,4217,,25,,1882,2310,7,3484,21,480428,396957,1210276
